,AAPL,MSFT,NVDA,SPY,JPM
144,149.48,310.76,22.69,453.59,169.5
145,148.69,309.16,22.73,453.12,171.78
146,148.64,308.13,23.17,455.55,170.94
147,149.32,310.11,24.72,455.96,171.4
148,148.85,323.17,24.45,453.94,167.83
149,152.57,324.35,24.94,458.32,170.36
150,149.8,331.62,25.57,459.25,169.89
151,148.96,329.37,25.83,460.04,169.8
152,150.02,333.13,26.4,461.9,170.47
153,151.49,334.0,26.6,464.72,170.53
154,150.96,336.44,29.8,466.91,168.29
155,151.28,336.06,29.75,468.53,168.05
156,150.44,336.99,30.8,468.93,169.06
157,150.81,335.95,30.66,467.38,167.78
158,147.92,330.8,29.46,463.62,167.62
159,147.87,332.43,30.39,463.77,167.61
160,149.99,336.72,30.39,467.27,166.86
161,150.0,336.07,30.03,467.43,166.56
162,151.0,339.51,30.2,469.28,165.36
163,153.49,339.12,29.26,468.14,164.47
164,157.87,341.27,31.68,469.73,163.05
165,160.55,343.11,32.99,468.89,160.92
166,161.02,339.83,31.96,467.57,164.35
167,161.41,337.68,31.75,468.19,168.28
168,161.94,337.91,32.67,469.44,166.96
169,156.81,329.68,31.5,458.97,161.93
170,160.24,336.63,33.38,464.6,161.23
171,165.3,330.59,32.68,455.56,158.83
172,164.77,330.08,31.44,450.5,157.89
173,163.76,329.49,32.13,457.4,161.21
174,161.84,323.01,30.69,453.42,158.29
175,165.32,326.19,30.04,458.79,160.16
176,171.18,334.92,32.43,468.28,162.57
177,175.08,334.97,31.83,469.52,160.71
178,174.56,333.1,30.49,466.35,160.46
179,179.45,342.54,30.2,470.74,159.82
180,175.74,339.4,28.16,466.57,157.92
181,174.33,328.34,28.34,463.36,159.13
182,179.3,334.65,30.46,470.6,157.94
183,172.26,324.9,28.39,466.45,160.41
184,171.14,323.8,27.8,459.87,156.76
185,169.75,319.91,27.72,454.98,153.94
186,172.99,327.29,29.08,463.06,156.09
187,175.64,333.2,29.4,467.69,156.7
188,176.28,334.69,29.64,470.6,157.26
189,180.33,342.45,30.95,477.26,158.16
190,179.29,341.25,30.32,476.87,158.64
191,179.38,341.95,30.0,477.48,158.56
192,178.2,339.32,29.59,476.16,158.48
193,177.57,336.32,29.41,474.96,158.35
194,182.01,334.75,30.12,477.71,161.7
195,179.7,329.01,29.29,477.55,167.83
196,174.92,316.38,27.6,468.38,163.78
197,172.0,313.88,28.18,467.94,165.52
198,172.17,314.04,27.25,466.09,167.16
199,172.19,314.27,27.4,465.51,167.32
200,175.08,314.98,27.82,469.75,167.49
201,175.53,318.27,28.0,471.02,168.44
202,172.19,304.8,26.58,464.53,168.23
203,173.07,310.2,26.94,464.72,157.89
204,169.8,302.65,25.9,456.49,151.27
205,166.23,303.33,25.07,451.75,148.93
206,164.51,301.6,24.15,446.75,147.66
207,162.41,296.03,23.37,437.98,145.08
208,161.62,296.37,23.37,439.84,144.95
209,159.78,288.49,22.32,434.47,146.53
210,159.69,296.71,22.77,433.38,147.92
211,159.22,299.84,21.94,431.24,145.31
212,170.33,308.26,22.84,441.95,146.61
213,174.78,310.98,24.49,449.91,148.6
214,174.61,308.76,24.64,452.95,151.15
215,175.84,313.46,25.24,457.35,149.94
216,172.9,301.25,23.95,446.6,148.7
217,172.39,305.94,24.32,448.7,152.56
218,171.66,300.95,24.73,447.26,153.07
